Company Name,Exchange:Ticker,S&P Entity ID,Industry Classifications,Company Type,Exchanges [Primary Listing],Exchanges [Secondary Listings],Website,Geographic Region,Headquarters - Country,Offices,Primary Address
Amdocs Limited (NasdaqGS:DOX),NasdaqGS:DOX,351454,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.amdocs.com,United States and Canada,United States,"8 Hapnina Street 
Ra’anana    43000
Israel
Main Phone: 972 9 776 2222

Fleetway House 
London, Greater London    EC4A 4EP
United Kingdom
Main Phone: 44 207 343 2500
Main Fax: 44 207 329 3066

Headquarters
1390 Timberlake Manor Parkway 
Chesterfield, Missouri    63017
United States
Main Phone: 314-212-7000
Main Fax: 314-212-7500
Other Phone: 314-212-8328

Tower Hill House Le Bordage
Suite 5 
St. Peter Port, Guernsey    GY1 3QT
Channel Islands
Main Phone: 44 14 8172 8444","Headquarters
1390 Timberlake Manor Parkway 
Chesterfield, Missouri    63017
United States
Main Phone: 314-212-7000
Main Fax: 314-212-7500
Other Phone: 314-212-8328"
"American Software, Inc. (NasdaqGS:AMSW.A)",NasdaqGS:AMSW.A,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.amsoftware.com,United States and Canada,United States,"Headquarters
470 East Paces Ferry Road, NE 
Atlanta, Georgia    30305
United States
Main Phone: 404-261-4381
Main Fax: 404-264-5206
Other Phone: 800-726-2946","Headquarters
470 East Paces Ferry Road, NE 
Atlanta, Georgia    30305
United States
Main Phone: 404-261-4381
Main Fax: 404-264-5206
Other Phone: 800-726-2946"
"Amkor Technology, Inc. (NasdaqGS:AMKR)",NasdaqGS:AMKR,333915,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.amkor.com,United States and Canada,United States,"Headquarters
2045 East Innovation Circle 
Tempe, Arizona    85284
United States
Main Phone: 480-821-5000
Main Fax: 480-821-8276

Delaware
United States","Headquarters
2045 East Innovation Circle 
Tempe, Arizona    85284
United States
Main Phone: 480-821-5000
Main Fax: 480-821-8276"
Amphenol Corporation (NYSE:APH),NYSE:APH,110442,Information Technology (Primary),Public Company,New York Stock Exchange (NYSE),-,www.amphenol.com,United States and Canada,United States,"Headquarters
358 Hall Avenue
PO Box 5030 
Wallingford, Connecticut    06492
United States
Main Phone: 203-265-8900
Main Fax: 203-265-8516

Delaware
United States","Headquarters
358 Hall Avenue
PO Box 5030 
Wallingford, Connecticut    06492
United States
Main Phone: 203-265-8900
Main Fax: 203-265-8516"
"Amtech Systems, Inc. (NasdaqGS:ASYS)",NasdaqGS:ASYS,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.amtechsystems.com,United States and Canada,United States,"Headquarters
131 South Clark Drive 
Tempe, Arizona    85281
United States
Main Phone: 480-967-5146
Main Fax: 480-968-3763","Headquarters
131 South Clark Drive 
Tempe, Arizona    85281
United States
Main Phone: 480-967-5146
Main Fax: 480-968-3763"
"Analog Devices, Inc. (NasdaqGS:ADI)",NasdaqGS:ADI,109017,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.analog.com,United States and Canada,United States,"Headquarters
One Technology Way
PO Box 9106 
Norwood, Massachusetts    02062
United States
Main Phone: 781-329-4700
Other Phone: 800-262-5643

P.O. Box 9106 
Norwood, Massachusetts    02062-9106
United States

One Technology Way 
Norwood, Massachusetts    02062
United States","Headquarters
One Technology Way
PO Box 9106 
Norwood, Massachusetts    02062
United States
Main Phone: 781-329-4700
Other Phone: 800-262-5643"
ANGI Homeservices Inc. (NasdaqGS:ANGI),NasdaqGS:ANGI,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.homeadvisor.com,United States and Canada,United States,"Headquarters
14023 Denver West Parkway
Building 64 
Golden, Colorado    80401
United States
Main Phone: 303-963-7200
Main Fax: 303-980-3003
Other Phone: 877-800-3177

555 West 18Th Street 
New York, New York    10011
United States
Main Phone: 212 314 7230","Headquarters
14023 Denver West Parkway
Building 64 
Golden, Colorado    80401
United States
Main Phone: 303-963-7200
Main Fax: 303-980-3003
Other Phone: 877-800-3177"
Anixter International Inc. (NYSE:AXE),NYSE:AXE,306831,Information Technology (Primary),Public Company,New York Stock Exchange (NYSE),-,www.anixter.com,United States and Canada,United States,"Delaware
United States

Headquarters
2301 Patriot Boulevard 
Glenview, Illinois    60026
United States
Main Phone: 224-521-8000","Headquarters
2301 Patriot Boulevard 
Glenview, Illinois    60026
United States
Main Phone: 224-521-8000"
"Ansys, Inc. (NasdaqGS:ANSS)",NasdaqGS:ANSS,-,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.ansys.com,United States and Canada,United States,"Headquarters
Southpointe
2600 ANSYS Drive 
Canonsburg, Pennsylvania    15317
United States
Main Phone: 844-462-6797
Main Fax: 724-514-9494","Headquarters
Southpointe
2600 ANSYS Drive 
Canonsburg, Pennsylvania    15317
United States
Main Phone: 844-462-6797
Main Fax: 724-514-9494"
"AppFolio, Inc. (NasdaqGM:APPF)",NasdaqGM:APPF,-,Information Technology (Primary),Public Company,Nasdaq Global Market (NasdaqGM),-,www.appfolioinc.com,United States and Canada,United States,"Headquarters
50 Castilian Drive 
Goleta, California    93117
United States
Main Phone: 805-364-6093
Other Phone: 866-648-1536","Headquarters
50 Castilian Drive 
Goleta, California    93117
United States
Main Phone: 805-364-6093
Other Phone: 866-648-1536"
Appian Corporation (NasdaqGM:APPN),NasdaqGM:APPN,-,Information Technology (Primary),Public Company,Nasdaq Global Market (NasdaqGM),-,www.appian.com,United States and Canada,United States,"Headquarters
11955 Democracy Drive
Suite 1700 
Reston, Virginia    20190
United States
Main Phone: 703-442-8844","Headquarters
11955 Democracy Drive
Suite 1700 
Reston, Virginia    20190
United States
Main Phone: 703-442-8844"
Apple Inc. (NasdaqGS:AAPL),NasdaqGS:AAPL,112354,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.apple.com,United States and Canada,United States,"China World Trade Center Tower 3
Chaoyang District 
Beijing    100004
China

Headquarters
1 Infinite Loop 
Cupertino, California    95014
United States
Main Phone: 408-996-1010","Headquarters
1 Infinite Loop 
Cupertino, California    95014
United States
Main Phone: 408-996-1010"
"Applied DNA Sciences, Inc. (NasdaqCM:APDN)",NasdaqCM:APDN,-,Information Technology (Primary),Public Company,Nasdaq Capital Market (NasdaqCM),-,www.adnas.com,United States and Canada,United States,"Headquarters
50 Health Sciences Drive 
Stony Brook, New York    11790
United States
Main Phone: 631-240-8800
Other Phone: 631-840-8800","Headquarters
50 Health Sciences Drive 
Stony Brook, New York    11790
United States
Main Phone: 631-240-8800
Other Phone: 631-840-8800"
"Applied Materials, Inc. (NasdaqGS:AMAT)",NasdaqGS:AMAT,127511,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.appliedmaterials.com,United States and Canada,United States,"Explorer Building
Unit 5, Third Floor
International Technology Park 
Bangalore, Karnataka    560066
India
Main Phone: 91 80 6628 3000

Headquarters
3050 Bowers Avenue
PO Box 58039 
Santa Clara, California    95054
United States
Main Phone: 408-727-5555

Delaware
United States","Headquarters
3050 Bowers Avenue
PO Box 58039 
Santa Clara, California    95054
United States
Main Phone: 408-727-5555"
"Applied Optoelectronics, Inc. (NasdaqGM:AAOI)",NasdaqGM:AAOI,-,Information Technology (Primary),Public Company,Nasdaq Global Market (NasdaqGM),-,www.ao-inc.com,United States and Canada,United States,"Headquarters
13139 Jess Pirtle Boulevard 
Sugar Land, Texas    77478
United States
Main Phone: 281-295-1800","Headquarters
13139 Jess Pirtle Boulevard 
Sugar Land, Texas    77478
United States
Main Phone: 281-295-1800"
"Apptio, Inc. (NasdaqGM:APTI)",NasdaqGM:APTI,-,Information Technology (Primary),Public Company,Nasdaq Global Market (NasdaqGM),-,www.apptio.com,United States and Canada,United States,"Headquarters
11100 NE 8th Street
Suite 600 
Bellevue, Washington    98004
United States
Main Phone: 866-470-0320","Headquarters
11100 NE 8th Street
Suite 600 
Bellevue, Washington    98004
United States
Main Phone: 866-470-0320"
"Arista Networks, Inc. (NYSE:ANET)",NYSE:ANET,-,Information Technology (Primary),Public Company,New York Stock Exchange (NYSE),-,www.arista.com,United States and Canada,United States,"Headquarters
5453 Great America Parkway 
Santa Clara, California    95054
United States
Main Phone: 408-547-5500
Main Fax: 408-538-8920","Headquarters
5453 Great America Parkway 
Santa Clara, California    95054
United States
Main Phone: 408-547-5500
Main Fax: 408-538-8920"
ARRIS International plc (NasdaqGS:ARRS),NasdaqGS:ARRS,577751,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.arrisi.com,United States and Canada,United States,"Headquarters
3871 Lakefield Drive 
Suwanee, Georgia    30024
United States
Main Phone: 678-473-2000
Main Fax: 678-473-8470
Other Phone: 678-473-2907","Headquarters
3871 Lakefield Drive 
Suwanee, Georgia    30024
United States
Main Phone: 678-473-2000
Main Fax: 678-473-8470
Other Phone: 678-473-2907"
"Arrow Electronics, Inc. (NYSE:ARW)",NYSE:ARW,100167,Information Technology (Primary),Public Company,New York Stock Exchange (NYSE),-,www.arrow.com,United States and Canada,United States,"Headquarters
9201 East Dry Creek Road 
Centennial, Colorado    80112
United States
Main Phone: 303-824-4000

7459 South Lima Street
Building 1 
Englewood, Colorado    80112
United States
Main Phone: 303-645-8999
Main Fax: 303-645-8996","Headquarters
9201 East Dry Creek Road 
Centennial, Colorado    80112
United States
Main Phone: 303-824-4000"
"Aspen Technology, Inc. (NasdaqGS:AZPN)",NasdaqGS:AZPN,324220,Information Technology (Primary),Public Company,Nasdaq Global Select (NasdaqGS),-,www.aspentech.com,United States and Canada,United States,"Headquarters
20 Crosby Drive 
Bedford, Massachusetts    01730
United States
Main Phone: 781-221-6400
Main Fax: 781-221-6410","Headquarters
20 Crosby Drive 
Bedford, Massachusetts    01730
United States
Main Phone: 781-221-6400
Main Fax: 781-221-6410"
"AstroNova, Inc. (NasdaqGM:ALOT)",NasdaqGM:ALOT,-,Information Technology (Primary),Public Company,Nasdaq Global Market (NasdaqGM),-,www.astronovainc.com,United States and Canada,United States,"Headquarters
600 East Greenwich Avenue 
West Warwick, Rhode Island    02893
United States
Main Phone: 401-828-4000
Other Phone: 800-343-4039","Headquarters
600 East Greenwich Avenue 
West Warwick, Rhode Island    02893
United States
Main Phone: 401-828-4000
Other Phone: 800-343-4039"
"Asure Software, Inc. (NasdaqCM:ASUR)",NasdaqCM:ASUR,-,Information Technology (Primary),Public Company,Nasdaq Capital Market (NasdaqCM),-,www.asuresoftware.com,United States and Canada,United States,"Headquarters
110 Wild Basin Road
Suite 100 
Austin, Texas    78746
United States
Main Phone: 512-437-2700
Main Fax: 512-437-2718
Other Phone: 877-651-1578","Headquarters
110 Wild Basin Road
Suite 100 
Austin, Texas    78746
United States
Main Phone: 512-437-2700
Main Fax: 512-437-2718
Other Phone: 877-651-1578"
Atomera Incorporated (NasdaqCM:ATOM),NasdaqCM:ATOM,-,Information Technology (Primary),Public Company,Nasdaq Capital Market (NasdaqCM),-,www.atomera.com,United States and Canada,United States,"Headquarters
750 University Avenue
Suite 280 
Los Gatos, California    95032
United States
Main Phone: 408-442-5248
Main Fax: 408-560-9556","Headquarters
750 University Avenue
Suite 280 
Los Gatos, California    95032
United States
Main Phone: 408-442-5248
Main Fax: 408-560-9556"
